id;name;tech_type;description;created_at;modified_at;user_id
1;Berkshire;SECURITY;Pants utilize;2022-11-13T11:37:25;2022-11-13T05:33:31;1
2;SAS;SECURITY;input Accounts;2022-11-14T01:34:49;2022-11-13T14:01:26;2
3;back-end;BACKEND_FRAMEWORK;uniform Account;2022-11-13T23:56:32;2022-11-14T03:06:06;1
4;indexing Avon;DATA_STORAGE;Dominican;2022-11-14T00:41:35;2022-11-13T09:33:38;2
5;firmware;PROGRAMMING_LANGUAGE;yellow JBOD;2022-11-14T02:24:51;2022-11-13T05:55:45;2
6;deposit;IDE;De-engineered Gorgeous base;2022-11-13T05:42:38;2022-11-14T01:26:50;2
7;Baby;CODE_MANAGEMENT;Belize;2022-11-13T20:46:31;2022-11-13T16:19:31;1
8;Archipelago) Fish;CODE_MANAGEMENT;Handmade Table Markets;2022-11-13T12:49:41;2022-11-13T22:11:50;2
9;Executive;DATA_STORAGE;Cambridgeshire Account Street;2022-11-13T09:42:20;2022-11-13T13:39:24;1
10;Account wireless;BACKEND_FRAMEWORK;portals Dynamic local;2022-11-14T00:48:23;2022-11-13T07:36:44;1
